,top5_sum,top10_sum,OligoID
0,0.7025948103792415,0.8942115768463074,Oligo26025
1,0.7352647352647352,0.8751248751248751,Oligo26498
2,0.70704510897111,0.8514951849974658,Oligo38247
3,0.6556237218813906,0.7580777096114519,Oligo26010
4,0.9245647969052224,0.97678916827853,Oligo26002
5,0.561447286338116,0.6936993137866501,Oligo26332
6,0.48985507246376814,0.7115942028985507,Oligo38230
7,0.8650725875320239,0.9376601195559351,Oligo38740
8,0.4062244062244062,0.5945945945945946,Oligo81767
9,0.912375790424571,0.96386630532972,Oligo38646
10,0.8346312414109024,0.9102153000458085,Oligo88821
11,0.5765595463137996,0.7674858223062382,Oligo81014
12,0.5859188544152745,0.7852028639618138,Oligo15933
13,0.5187165775401069,0.6732620320855615,Oligo38223
14,0.6092592592592593,0.812962962962963,Oligo38234
15,0.8514492753623188,0.9227053140096618,Oligo15301
16,0.6510067114093959,0.8288590604026845,Oligo88400
17,0.9421364985163204,0.9866468842729971,Oligo38708
18,0.8878048780487805,0.9682926829268292,Oligo15935
19,0.9143356643356644,0.9755244755244755,Oligo38603
20,0.36604189636163176,0.5490628445424476,Oligo15926
21,0.9191489361702128,0.9943262411347518,Oligo38639
22,0.3238380809595202,0.5112443778110944,Oligo26047
23,0.627147766323024,0.8127147766323024,Oligo38210
24,0.5364526659412405,0.6822633297062024,Oligo15329
25,0.8313953488372093,0.9127906976744186,Oligo38424
26,0.7570012925463162,0.8474795346833262,Oligo38729
27,0.8102658111824015,0.888634280476627,Oligo38272
28,0.8085585585585585,0.8603603603603603,Oligo38433
29,0.7083906464924347,0.8418156808803301,Oligo38604
30,0.7444029850746269,0.8563432835820896,Oligo15938
31,0.7136627906976745,0.8691860465116279,Oligo38700
32,0.7534818941504178,0.8760445682451253,Oligo15937
33,0.573502722323049,0.7549909255898367,Oligo15602
34,0.8260387811634349,0.8903047091412742,Oligo26458
35,0.72,0.89875,Oligo38436
36,0.9837758112094396,1.0,Oligo15308
37,0.5554054054054054,0.7148648648648649,Oligo88505
38,0.4820601851851852,0.6915509259259259,Oligo26038
39,0.8264299802761341,0.9122287968441815,Oligo88708
40,0.7009569377990431,0.8283492822966507,Oligo15473
41,0.7953216374269005,0.8874269005847953,Oligo38216
42,0.6031088082901555,0.7450777202072539,Oligo38473
43,0.931899641577061,0.974910394265233,Oligo81123
44,0.7762923351158645,0.8885918003565062,Oligo88471
45,0.8945086705202312,0.9739884393063584,Oligo26335
46,0.7949167397020158,0.8965819456617002,Oligo38644
47,0.4202077431539188,0.6241737488196412,Oligo26798
48,0.8553345388788427,0.9566003616636528,Oligo15311
49,0.7420333839150227,0.8694992412746586,Oligo81458
50,0.5875,0.78375,Oligo26028
51,0.5231884057971015,0.6985507246376812,Oligo81390
52,0.8825878594249201,0.9712460063897763,Oligo26756
53,0.8244147157190636,0.9247491638795987,Oligo88754
54,0.4507874015748031,0.7165354330708661,Oligo26304
55,0.7808896210873146,0.8764415156507414,Oligo15467
56,0.8625954198473282,0.9770992366412213,Oligo38611
57,0.6555246053853296,0.8115134633240483,Oligo15927
58,0.6485981308411215,0.7794392523364486,Oligo15522
59,0.8822314049586777,0.9641873278236914,Oligo26469
60,0.9945652173913043,1.0,Oligo38416
61,0.7040650406504065,0.8463414634146341,Oligo15483
62,0.5351239669421488,0.7055785123966942,Oligo15934
63,0.6253229974160207,0.7941429801894918,Oligo38443
64,0.7330316742081447,0.8868778280542986,Oligo26336
65,0.7338709677419355,0.8387096774193549,Oligo38413
66,0.6917040358744395,0.8139013452914798,Oligo81190
67,0.7644836272040302,0.9168765743073047,Oligo38410
68,0.7827442827442828,0.8731808731808732,Oligo15451
69,0.5365296803652968,0.7385844748858448,Oligo26467
70,0.5914742451154529,0.7868561278863233,Oligo38446
71,0.7740384615384616,0.8766025641025641,Oligo81874
72,0.43613707165109034,0.6090342679127726,Oligo26325
73,0.7948717948717948,0.8823529411764706,Oligo26491
74,0.7285429141716567,0.8423153692614771,Oligo26037
75,0.7618320610687023,0.9206106870229007,Oligo26004
76,0.832391713747646,0.9585687382297552,Oligo38246
77,0.8481675392670157,0.924956369982548,Oligo81460
78,0.6052836052836053,0.7113442113442113,Oligo26778
79,0.6689419795221843,0.8225255972696246,Oligo15912
80,0.7243265993265994,0.8762626262626263,Oligo15649
81,0.5827123695976155,0.8002980625931445,Oligo26464
82,0.9416376306620209,0.9895470383275261,Oligo38445
83,0.7702970297029703,0.8772277227722772,Oligo81945
84,0.9169675090252708,0.9873646209386282,Oligo38254
85,0.8580024067388689,0.9398315282791817,Oligo15472
86,0.8472906403940886,0.9178981937602627,Oligo38248
87,0.6944444444444444,0.8373015873015873,Oligo88693
88,0.3846949327817994,0.5398138572905895,Oligo15505
89,0.6981132075471698,0.8603773584905661,Oligo26499
90,0.4134110787172012,0.563265306122449,Oligo88279
91,0.9957325746799431,1.0,Oligo38406
92,0.4753787878787879,0.6235795454545454,Oligo38232
93,0.478330658105939,0.6677367576243981,Oligo15508
94,0.7606093579978237,0.8694232861806311,Oligo26454
95,0.7476082004555809,0.8145785876993167,Oligo26269
96,0.652766639935846,0.8235765838011226,Oligo15549
97,0.3841554559043348,0.5979073243647235,Oligo88339
98,1.0,1.0,Oligo26265
99,0.45092460881934565,0.6671408250355618,Oligo88521
100,0.8196915776986952,0.9466192170818505,Oligo15064
101,0.6942446043165468,0.8309352517985612,Oligo15541
102,0.8281653746770026,0.9211886304909561,Oligo38712
103,0.8454332552693209,0.9566744730679156,Oligo15317
104,0.7458233890214797,0.8723150357995226,Oligo26264
105,0.32626882320133854,0.5181260457334077,Oligo26300
106,0.8211025921869295,0.8948521358159912,Oligo38401
107,0.8269673262770364,0.92268752876208,Oligo88310
108,0.48925043579314353,0.6426496223126089,Oligo26009
109,0.6405472636815921,0.7972636815920398,Oligo80977
110,0.8666035950804163,0.9413434247871334,Oligo81889
111,0.877030162412993,0.9582366589327146,Oligo15490
112,0.47604185790343306,0.636864328988434,Oligo15325
113,0.8531590413943355,0.9233115468409586,Oligo38407
114,0.9132075471698113,0.9943396226415094,Oligo38726
115,0.6707142857142857,0.8021428571428572,Oligo26453
116,0.6465736040609137,0.751269035532995,Oligo26887
117,0.8199052132701422,0.9067930489731437,Oligo15463
118,0.90311986863711,0.9835796387520526,Oligo38221
119,0.8953356086461889,0.9544937428896473,Oligo15513
120,0.6072261072261073,0.7272727272727273,Oligo81226
121,0.40384615384615385,0.5739644970414202,Oligo26479
122,0.7228525121555915,0.8687196110210696,Oligo26326
123,0.7322187588551998,0.831113629923491,Oligo15319
124,0.4665314401622718,0.6693711967545639,Oligo26456
125,0.9891067538126361,1.0,Oligo26359
126,0.5832147937411095,0.7581792318634424,Oligo88525
127,0.8731778425655977,0.9183673469387755,Oligo41449
128,0.8587119321018473,0.9171243135297055,Oligo26465
129,0.684346701164295,0.8163001293661061,Oligo80997
130,0.8152004164497657,0.9036959916710047,Oligo26455
131,0.633693972179289,0.7758887171561051,Oligo26489
132,0.6767068273092369,0.7911646586345381,Oligo88819
133,0.848,0.9232,Oligo38278
134,0.7185473411154345,0.8638132295719845,Oligo15642
135,0.7033333333333334,0.8333333333333334,Oligo26305
136,0.9779058597502401,1.0,Oligo41975
137,0.7849462365591398,0.9217986314760508,Oligo15527
138,0.5409582689335394,0.8191653786707882,Oligo15622
139,0.590599876314162,0.7637600494743352,Oligo41418
140,0.8760255241567912,0.9416590701914311,Oligo38270
141,0.9033333333333333,0.945,Oligo88362
142,0.6616379310344828,0.8139367816091954,Oligo26284
143,0.42214532871972316,0.5997693194925029,Oligo26257
144,0.6566232356134636,0.761943539630836,Oligo38421
145,0.35267034990791896,0.5506445672191529,Oligo41405
146,0.5565142364106989,0.7377049180327869,Oligo26483
147,0.6614906832298136,0.8260869565217391,Oligo15504
148,0.630016051364366,0.78330658105939,Oligo26390
149,0.7607758620689655,0.8351293103448276,Oligo15302
150,0.639749117992944,0.7769502156017248,Oligo26397
151,0.7228805834092981,0.8568824065633546,Oligo26379
152,0.9420062695924765,0.9858934169278997,Oligo15015
153,0.8753016894609815,0.917940466613033,Oligo88463
154,0.6952191235059761,0.8366533864541833,Oligo26312
155,1.0,1.0,Oligo15605
156,0.7554009520322227,0.8703771512266569,Oligo38451
157,0.5012185215272137,0.6815597075548334,Oligo26358
158,0.5930087390761548,0.7078651685393258,Oligo41439
159,0.7827751196172249,0.8755980861244019,Oligo41437
160,0.47106325706594887,0.6446837146702558,Oligo15028
161,0.7421731123388582,0.8195211786372008,Oligo15030
162,0.7030223390275953,0.8646517739816032,Oligo26871
163,0.82574568288854,0.9081632653061225,Oligo38423
164,0.45177165354330706,0.6978346456692913,Oligo15043
165,0.9773645917542442,0.9991915925626516,Oligo41774
166,0.31417624521072796,0.5287356321839081,Oligo26294
167,0.6699507389162561,0.8263546798029556,Oligo81995
168,0.9379084967320261,0.9771241830065359,Oligo38264
169,0.671358629130967,0.7913096695226438,Oligo38292
170,0.49198868991517436,0.649387370405278,Oligo41428
171,0.45081967213114754,0.6442622950819672,Oligo15517
172,0.971322849213691,0.986586493987049,Oligo38665
173,0.924,0.9866666666666667,Oligo26860
174,0.9454976303317536,0.9976303317535545,Oligo15788
175,0.7548226509023024,0.8394523957685127,Oligo38352
176,0.840952994204765,0.9491307147456536,Oligo38672
177,0.6437994722955145,0.8060686015831134,Oligo38560
178,0.6160558464223386,0.7475276323443862,Oligo26270
179,0.9585798816568047,0.9960552268244576,Oligo81660
180,0.6059602649006622,0.7211920529801324,Oligo15007
181,0.8831168831168831,0.9421487603305785,Oligo41421
182,0.5961538461538461,0.8,Oligo26290
