,top5_sum,top10_sum,OligoID
0,0.5582722086389568,0.700081499592502,Oligo28333
1,0.6713450292397661,0.7871345029239766,Oligo1604
2,0.43757881462799497,0.6191677175283733,Oligo28091
3,0.45290858725761773,0.5678670360110804,Oligo37141
4,0.4838709677419355,0.635673624288425,Oligo85698
5,0.6295947219604147,0.7078228086710651,Oligo41439
6,0.677570093457944,0.7772585669781932,Oligo85462
7,0.9009497964721845,0.9430122116689281,Oligo37395
8,0.6442953020134228,0.762660158633313,Oligo85459
9,0.351123595505618,0.5449438202247191,Oligo41220
10,0.4780701754385965,0.6491228070175439,Oligo85273
11,0.5439330543933054,0.6694560669456067,Oligo28313
12,0.49809160305343514,0.6545801526717557,Oligo1632
13,0.5608150470219436,0.7153605015673982,Oligo1859
14,0.6521106259097526,0.7540029112081513,Oligo41428
15,0.6878154289834174,0.7649603460706561,Oligo1248
16,0.6581769436997319,0.7942359249329759,Oligo1237
17,0.7818181818181819,0.8488636363636364,Oligo41414
18,0.6412849494348603,0.7186198691255206,Oligo41418
19,0.7789613848202397,0.829560585885486,Oligo41449
20,0.560200668896321,0.7625418060200669,Oligo85130
21,0.6390625,0.753125,Oligo1636
22,0.6670403587443946,0.7564461883408071,Oligo41438
23,0.7887596899224806,0.8934108527131783,Oligo41759
24,0.6531986531986532,0.767302656191545,Oligo85490
25,0.6980609418282548,0.7811634349030471,Oligo28383
26,0.7839335180055401,0.9002770083102493,Oligo85791
27,0.8868421052631579,0.9223684210526316,Oligo1214
28,0.6060606060606061,0.7085399449035813,Oligo85140
29,0.6815642458100558,0.7743016759776536,Oligo37693
30,0.8685185185185185,0.9388888888888889,Oligo85284
31,0.6131511528608027,0.7045260461144321,Oligo41437
32,0.3706214689265537,0.5084745762711864,Oligo37676
33,0.5041928721174004,0.6792452830188679,Oligo41210
34,0.5838779956427015,0.7167755991285403,Oligo37360
35,0.6381578947368421,0.7342105263157894,Oligo85125
36,0.6463834672789897,0.7726750861079219,Oligo41421
37,0.7292452830188679,0.8132075471698114,Oligo37692
38,0.5090252707581228,0.631768953068592,Oligo37665
39,0.893739230327398,0.9215967834577828,Oligo1616
40,0.5279461279461279,0.6572390572390573,Oligo28042
41,0.4621647509578544,0.5967432950191571,Oligo37136
42,0.4973424449506454,0.6537585421412301,Oligo28341
43,0.695920889987639,0.7824474660074165,Oligo1215
44,0.6921739130434783,0.7617391304347826,Oligo1637
45,0.8152295632698768,0.8891377379619261,Oligo1226
46,0.6826758147512865,0.7590051457975986,Oligo41217
47,0.6882898062342039,0.8028643639427128,Oligo41786
48,0.48003992015968067,0.6327345309381237,Oligo1897
49,0.46074766355140184,0.6149532710280374,Oligo85665
50,0.6414944356120826,0.7416534181240063,Oligo41784
51,0.4897959183673469,0.7032967032967034,Oligo1853
52,0.7394014962593516,0.8029925187032418,Oligo37356
53,0.503793626707132,0.6320182094081942,Oligo85106
