celltype,set,metric,value
CHO,Lindel,KL divergence,2.088003252106016
HAP1,Lindel,KL divergence,1.918625524124527
K562,Lindel,KL divergence,2.2540590569526904
iPSC,Lindel,KL divergence,2.979698414348867
mESC,Lindel,KL divergence,2.172378666837028
CHO,Lindel,Top5 events recall,1.852603706972639
HAP1,Lindel,Top5 events recall,1.9867608120035305
K562,Lindel,Top5 events recall,2.203000882612533
iPSC,Lindel,Top5 events recall,1.7766990291262137
mESC,Lindel,Top5 events recall,2.261253309796999
CHO,Lindel,Top10 events recall,4.253309796999117
HAP1,Lindel,Top10 events recall,4.373345101500441
K562,Lindel,Top10 events recall,4.977934686672551
iPSC,Lindel,Top10 events recall,3.7802294792586055
mESC,Lindel,Top10 events recall,4.908208296557811
CHO,Lindel,Kendall's $\tau$,0.3371941908820853
HAP1,Lindel,Kendall's $\tau$,0.3546195224367063
K562,Lindel,Kendall's $\tau$,0.3368460006124697
iPSC,Lindel,Kendall's $\tau$,0.2765667474562924
mESC,Lindel,Kendall's $\tau$,0.3048769959103475
CHO,Lindel,R2 of Frameshift ratio,0.6330227434461445
HAP1,Lindel,R2 of Frameshift ratio,0.6023642888182804
K562,Lindel,R2 of Frameshift ratio,0.6110698001101129
iPSC,Lindel,R2 of Frameshift ratio,0.6221456027734625
mESC,Lindel,R2 of Frameshift ratio,0.6220201318198265
CHO,Lindel,R2 of Deletion ratio,0.7372702911845149
HAP1,Lindel,R2 of Deletion ratio,0.690181182874621
K562,Lindel,R2 of Deletion ratio,0.6804810701421313
iPSC,Lindel,R2 of Deletion ratio,0.7883039414686572
mESC,Lindel,R2 of Deletion ratio,0.7964089732977011
CHO,Lindel,frameshift_r,0.7956272641420381
HAP1,Lindel,frameshift_r,0.7761213106327389
K562,Lindel,frameshift_r,0.7817095369189971
iPSC,Lindel,frameshift_r,0.7887620698115894
mESC,Lindel,frameshift_r,0.7886825291711657
CHO,Lindel,delratio_r,0.8586444498070869
HAP1,Lindel,delratio_r,0.8307714384080744
K562,Lindel,delratio_r,0.82491276517104
iPSC,Lindel,delratio_r,0.8878648216190668
mESC,Lindel,delratio_r,0.8924174882294167
iPSC,Lindel,KLD_IDL,0.9258214476332912
CHO,Lindel,KLD_IDL,0.587877819181431
mESC,Lindel,KLD_IDL,0.8129610900804691
HAP1,Lindel,KLD_IDL,0.5899562633566077
K562,Lindel,KLD_IDL,0.5590709109229837
iPSC,Lindel,Top5_IDL,3.23477493380406
CHO,Lindel,Top5_IDL,3.3971756398940864
mESC,Lindel,Top5_IDL,3.244483671668138
HAP1,Lindel,Top5_IDL,3.3380406001765226
K562,Lindel,Top5_IDL,3.379523389232128
iPSC,Lindel,Top10_IDL,6.694616063548103
CHO,Lindel,Top10_IDL,7.595763459841129
mESC,Lindel,Top10_IDL,7.274492497793469
HAP1,Lindel,Top10_IDL,7.262135922330097
K562,Lindel,Top10_IDL,7.31332744924978
iPSC,Lindel,frameshift_r2,0.6330227434461445
CHO,Lindel,frameshift_r2,0.6023642888182804
mESC,Lindel,frameshift_r2,0.6110698001101129
HAP1,Lindel,frameshift_r2,0.6221456027734625
K562,Lindel,frameshift_r2,0.6220201318198265
iPSC,Lindel,delratio_r2,0.7372702911845149
CHO,Lindel,delratio_r2,0.690181182874621
mESC,Lindel,delratio_r2,0.6804810701421313
HAP1,Lindel,delratio_r2,0.7883039414686572
K562,Lindel,delratio_r2,0.7964089732977011
iPSC,Lindel,Kendall_tau_IDL,0.6078598825729856
CHO,Lindel,Kendall_tau_IDL,0.7128095678077103
mESC,Lindel,Kendall_tau_IDL,0.6684857680070024
HAP1,Lindel,Kendall_tau_IDL,0.694866103689481
K562,Lindel,Kendall_tau_IDL,0.6827791463450891
iPSC,replication,KLD_IDL,0.2503140592270151
CHO,replication,KLD_IDL,0.0638344493443522
mESC,replication,KLD_IDL,0.1087861419662242
HAP1,replication,KLD_IDL,0.0656802694167331
K562,replication,KLD_IDL,0.0515387417532997
iPSC,replication,Top5_IDL,3.828773168578994
CHO,replication,Top5_IDL,4.340688437775817
mESC,replication,Top5_IDL,4.274492497793469
HAP1,replication,Top5_IDL,4.218887908208297
K562,replication,Top5_IDL,4.328331862312445
iPSC,replication,Top10_IDL,7.226831421006178
CHO,replication,Top10_IDL,8.463371579876434
mESC,replication,Top10_IDL,8.361871138570168
HAP1,replication,Top10_IDL,8.247131509267431
K562,replication,Top10_IDL,8.323036187113857
iPSC,replication,W1-distance_IDL,0.0324536667824613
CHO,replication,W1-distance_IDL,0.0167709776602427
mESC,replication,W1-distance_IDL,0.0222082336270492
HAP1,replication,W1-distance_IDL,0.0191310080917074
K562,replication,W1-distance_IDL,0.0147505842999467
iPSC,replication,delratio_r2,0.9592909657395048
CHO,replication,delratio_r2,0.987130477633024
mESC,replication,delratio_r2,0.962689690324254
HAP1,replication,delratio_r2,0.9829965798755436
K562,replication,delratio_r2,0.986857548778863
iPSC,replication,Kendall_tau_IDL,0.7028555064199776
CHO,replication,Kendall_tau_IDL,0.8279971601654496
mESC,replication,Kendall_tau_IDL,0.7813148223303423
HAP1,replication,Kendall_tau_IDL,0.830868015330133
K562,replication,Kendall_tau_IDL,0.8466576565611309
iPSC,replication,KL divergence,2.0884206295013428
