,KL divergence,Top5 events recall,Top10 events recall,R2 of Frameshift ratio,Coll_I_Top5,Coll_I_Top10,KLD_IDL,Top5_IDL,Top10_IDL,W1-distance_IDL,delratio_r2,Kendall_tau_IDL,End_date,k1,k2,h,target_cell,N_finetune
0,1.473424654594414,2.7006651884700665,5.006651884700665,0.6990903984813165,2.8869179600886916,5.219512195121951,0.7668310778691041,3.033259423503326,6.201773835920178,0.132437645223475,0.6277048929055487,0.5922566616975231,Sep17-16:56,0.1,0.1,1,BOB,500
1,1.9460118817714789,2.5920177383592016,4.933481152993348,0.30384460708822714,2.800443458980044,5.126385809312638,1.1179212250639738,2.9800443458980044,6.164079822616408,0.16116264081825185,0.5359880953443,0.576409323831413,Sep17-16:57,0.1,0.1,2,BOB,500
2,8.182748707428475,1.5121951219512195,3.620842572062084,0.013245732993932521,1.629711751662971,3.8425720620842574,6.515863251469904,2.2195121951219514,5.385809312638581,0.2734306823501267,0.10464163112864001,0.33210251504615257,Sep17-16:58,0.1,0.1,3,BOB,500
3,11.395324912938205,0.4124168514412417,1.3481152993348116,0.023012249981163198,0.5543237250554324,1.6851441241685143,9.467323501737988,0.8647450110864745,3.5099778270509976,0.3101573503462118,0.011819949529221697,0.165673422727206,Sep17-16:59,0.1,0.1,4,BOB,500
4,11.80908497712036,0.15521064301552107,0.656319290465632,0.02352716727371135,0.34146341463414637,1.048780487804878,9.86057667013096,0.5343680709534369,2.8492239467849223,0.3136551055004864,0.012541904591585927,0.09177369727975208,Sep17-17:0,0.1,0.1,5,BOB,500
5,11.844035987843432,0.08869179600886919,0.4279379157427938,0.02652489848733479,0.28159645232815966,0.8403547671840355,9.911470211059319,0.44124168514412415,2.645232815964523,0.3136942386433838,0.0012501138520160204,0.021015745296315294,Sep17-17:1,0.1,0.1,6,BOB,500
6,11.844795944156774,0.07982261640798226,0.3902439024390244,0.02650108100735991,0.28159645232815966,0.8004434589800443,9.909960229509634,0.43015521064301554,2.6031042128603104,0.3137163911845342,0.005759989277028675,0.007957546919213992,Sep17-17:2,0.1,0.1,7,BOB,500
7,11.844696697533262,0.07982261640798226,0.38802660753880264,0.02655042544382405,0.2860310421286031,0.8004434589800443,9.90982383011033,0.43237250554323725,2.611973392461197,0.31371718776783264,0.0009617297370803673,0.007981572101953249,Sep17-17:3,0.1,0.1,8,BOB,500
8,11.84418923653943,0.07982261640798226,0.38802660753880264,0.026476521782909688,0.2860310421286031,0.802660753880266,9.909096761720914,0.43237250554323725,2.611973392461197,0.3137268742093882,0.00010927182315742184,0.007685923109237012,Sep17-17:4,0.1,0.1,9,BOB,500
9,1.4604556297185416,2.902439024390244,5.396895787139689,0.722041117126714,3.0620842572062084,5.600886917960088,0.7180866171810227,3.2882483370288247,6.745011086474501,0.1296989903242399,0.6706095621295534,0.6236944148759255,Sep17-17:5,0.1,0.5,1,BOB,500
10,1.9114545704982762,2.800443458980044,5.303769401330377,0.2786796640953459,2.9578713968957873,5.505543237250555,1.0547477909747953,3.261640798226164,6.733924611973393,0.15493009633051824,0.5924519398854236,0.6073202245260239,Sep17-17:6,0.1,0.5,2,BOB,500
11,8.12441678665694,1.6341463414634145,3.8492239467849223,0.015187119862277639,1.7427937915742793,4.039911308203991,6.452158466925055,2.4079822616407984,5.82039911308204,0.2688100184609092,0.12770696579778765,0.33866820918755947,Sep17-17:7,0.1,0.5,3,BOB,500
12,11.379111453329116,0.44124168514412415,1.4567627494456763,0.02302058292868051,0.5831485587583148,1.747228381374723,9.451427478724655,0.9068736141906873,3.6430155210643016,0.30980127059731977,0.013561400647332807,0.16719900310353378,Sep17-17:8,0.1,0.5,4,BOB,500
13,11.807452663085414,0.1574279379157428,0.6784922394678492,0.023494850379308877,0.3348115299334812,1.0753880266075388,9.858520883036785,0.5299334811529933,2.902439024390244,0.3136413794454706,0.012448236966145321,0.09165004625255242,Sep17-17:9,0.1,0.5,5,BOB,500
14,11.84410333395533,0.09090909090909091,0.42572062084257206,0.026513460809649527,0.28159645232815966,0.8403547671840355,9.912103479178867,0.44124168514412415,2.645232815964523,0.31369095898829,0.00013186197377644483,0.021018475729889827,Sep17-17:10,0.1,0.5,6,BOB,500
15,11.84469442013362,0.07982261640798226,0.3902439024390244,0.026485225719895287,0.28159645232815966,0.8004434589800443,9.91007980237506,0.43015521064301554,2.6031042128603104,0.3137166898893114,0.00031881310279063135,0.007942627356918124,Sep17-17:11,0.1,0.5,7,BOB,500
