,Gene,Rep1_frameshift,Pred_frameshift_inDephi,Rep_delratio,Pred_delratio_inDephi,iDp_delratio,Pred_frameshift_inDecay,Pred_delratio_inDecay
846,Oligo41677,0.83712506,0.7968338532322723,0.9708739,0.9203385244876678,0.9250112050315938,0.8839931,0.94885385
847,Oligo36033,0.8882551,0.921823081246237,0.65314746,0.8769695589654509,0.8781637053898783,0.91030383,0.7740077
848,Oligo33757,0.7638889,0.8201716786432744,0.91150796,0.8061595514282937,0.8110434411298396,0.77777606,0.94125044
849,Oligo29179,0.6043318,0.6215462119881294,0.8403171,0.8730998415238871,0.8815208730152159,0.5727065,0.76380384
850,Oligo49242,0.518998,0.5602664425061028,0.92372644,0.8968696719120313,0.8994961427999244,0.47236955,0.88200045
851,Oligo44050,0.5791294,0.6417063578820287,0.9141578,0.7687752033520925,0.7717412805667051,0.52232593,0.872595
852,Oligo22517,0.85268575,0.7224017482868621,0.61080736,0.8214545822736519,0.8413351576429503,0.8506624,0.40581003
853,Oligo14979,0.5477856,0.6318853549516418,0.92128384,0.85572911231777,0.8588161045421451,0.62981075,0.85577255
854,Oligo18802,0.77802944,0.5333183406088591,0.35764438,0.790970918150715,0.7940787015059553,0.55737984,0.5791656
855,Oligo17474,0.7527415,0.9090601341917032,0.90337265,0.9128368609536894,0.9137254079034168,0.62504095,0.9102341
856,Oligo36923,0.45917368,0.49653795626312397,0.9361661,0.8455525264989372,0.8480363347492212,0.484295,0.826852
857,Oligo69880,0.34287784,0.32367689921672965,0.9188112,0.8956785018433031,0.8984321241907784,0.45583078,0.8913317
858,Oligo12818,0.53757375,0.6681874639891635,0.8858682,0.7626000291421348,0.7672313936791052,0.66667855,0.90372413
859,Oligo10841,0.8173663,0.7508615469856756,0.94330823,0.916082745220375,0.9197615567030506,0.7931998,0.93429106
860,Oligo46341,0.8814981,0.7440568295312697,0.37087756,0.7990121694495969,0.8025902731216823,0.90861136,0.29114664
861,Oligo40309,0.7585573,0.8230756108397106,0.6248564,0.839940105418598,0.8420063826186969,0.8639409,0.3675539
862,Oligo34774,0.6992982,0.7513169573014575,0.89418757,0.8554198911854329,0.8595353850343439,0.7595258,0.8998941
863,Oligo13439,0.6412436,0.7359232450316444,0.9089689,0.93061387779216,0.9316261266299927,0.6899434,0.9396279
864,Oligo44411,0.86200583,0.7854447454997064,0.8407759,0.7504717007960774,0.7547814995264307,0.77190566,0.777567
865,Oligo33443,0.6586472,0.710217530968939,0.9832636,0.8459575351705589,0.8484573224904376,0.6225702,0.85713476
866,Oligo9403,0.84002215,0.816154980855904,0.8671464,0.8394126280235616,0.8428523703136238,0.8128241,0.8964194
867,Oligo7913,0.8691938,0.9379632766751254,0.88307524,0.9003817418419191,0.9012522967494675,0.8835042,0.924229
868,Oligo29909,0.9784768,0.9804470799754743,0.7549668,0.8218151496620119,0.8219928091664503,0.95095193,0.8725559
869,Oligo738,0.6888604,0.6885692855788393,0.9070789,0.9260844787268538,0.9357932853568777,0.73079044,0.8855062
870,Oligo18252,0.7694051,0.7804653332165873,0.8611898,0.9449157696056871,0.9470406264589846,0.76915985,0.944634
871,Oligo28220,0.4205225,0.6101325245310003,0.9005351,0.8011693193654275,0.80416791028092,0.5361079,0.87629664
872,Oligo46822,0.45539758,0.6233191667908351,0.9706161,0.8610667567151065,0.8640045670042988,0.6006645,0.8319365
873,Oligo4478,0.85396516,0.9134979658448401,0.84622824,0.8800385776689927,0.8816672021984613,0.8739913,0.8975628
874,Oligo3910,0.69994116,0.7411840567956958,0.9595999,0.9296929226309898,0.932629992799621,0.80104166,0.9471602
875,Oligo79293,0.6245632,0.5134920747492004,0.8791055,0.9519581295420517,0.9545897339394159,0.5728559,0.92398053
876,Oligo8285,0.5326915,0.6335095962132924,0.90584415,0.9635199254374125,0.9650889810126305,0.70652145,0.9267338
877,Oligo24044,0.7363456,0.7158601215236545,0.92974174,0.9626285282483751,0.9639346795366249,0.7682618,0.93693155
878,Oligo35162,0.8202824,0.7856569166910308,0.95478535,0.9303180864626943,0.9353870929808719,0.7510496,0.960069
879,Oligo42175,0.7101404,0.6843282388881637,0.9191888,0.825055162106582,0.8292872991573124,0.7016776,0.8778473
880,Oligo21711,0.9449065,0.8310395378762028,0.45495498,0.8996861542728943,0.9024669012146789,0.9010316,0.5027972
881,Oligo2327,0.8851246,0.8828344545378585,0.80880064,0.9700615406682562,0.9715434870662104,0.8505209,0.9310988
882,Oligo24207,0.6290665,0.4903677183772953,0.8571195,0.9052362354782728,0.9076860030856218,0.52395844,0.8806104
883,Oligo11663,0.7552987,0.5984719278157866,0.31262043,0.8419082851828161,0.8441408846510592,0.79434454,0.36654666
884,Oligo70923,0.9673168,0.9226925015597766,0.9126252,0.9469398059999833,0.9480926687485944,0.94525933,0.91437864
885,Oligo49237,0.8230818,0.793771328939077,0.94166136,0.8687574333628735,0.8730084099274659,0.7808414,0.9260129
886,Oligo15659,0.81613654,0.7606333631184765,0.96159816,0.8732380908029513,0.8789729402960913,0.74993694,0.91583514
887,Oligo24561,0.66010153,0.5794980028858541,0.9149508,0.8543156811666994,0.8560030294837037,0.6432297,0.8289462
888,Oligo19038,0.40241367,0.5316918034473133,0.9498544,0.9589301139953706,0.9599498054359308,0.4266345,0.96546054
889,Oligo22865,0.8679127,0.8096641478635985,0.9383178,0.8406169488771376,0.844411632866781,0.8153911,0.90273213
890,Oligo35750,0.95253557,0.9493076677450059,0.9837622,0.9157994984633249,0.9204972651756979,0.94914937,0.97391915
891,Oligo1533,0.7459026,0.825086615769544,0.7101011,0.8763978202570353,0.8770355373865997,0.66272825,0.76150066
892,Oligo3877,0.30898124,0.5738149246146211,0.9291779,0.9219426829709902,0.92547225822026,0.32963994,0.9279494
893,Oligo48548,0.9534549,0.9036971338609591,0.9565739,0.955712820256654,0.9574691356163889,0.9258012,0.97973543
894,Oligo30476,0.7563971,0.7660582673522984,0.7427499,0.8355964981385441,0.8380078274311288,0.79835504,0.7502052
895,Oligo15449,0.74533224,0.6937905007949894,0.7930959,0.8473484292708722,0.8551935568670767,0.7900959,0.67112035
896,Oligo35466,0.83490306,0.8180436040660404,0.900554,0.8978607432015898,0.9006383554038814,0.79140466,0.85096025
897,Oligo72731,0.93227667,0.7955598930875831,0.5613193,0.8508080853933639,0.8547662160186138,0.8723022,0.5030456
898,Oligo1074,0.6091608,0.3819772786096297,0.52206624,0.8400135306166474,0.840850571595197,0.51892775,0.7314365
899,Oligo48303,0.75767684,0.8727691153230144,0.9732976,0.9816707736041168,0.9821429377101404,0.67335343,0.9833422
