,KL divergence,Top5 events recall,Top10 events recall,R2 of Frameshift ratio,Coll_I_Top5,Coll_I_Top10,KLD_IDL,Top5_IDL,Top10_IDL,W1-distance_IDL,delratio_r2,Kendall_tau_IDL,cell,feature
0,1.3212210129607806,2.6919682259488087,5.12621359223301,0.7495270517494996,2.816416593115622,5.240070609002648,0.6812803854664057,2.935569285083848,6.0714916151809355,0.09256087436302417,0.7550103095179466,0.5941091170705552,mESC,indel_size
1,0.9967941232387302,2.950573698146514,5.691968225948808,0.7300234355178435,3.0335392762577227,5.796999117387467,0.41605312821849666,3.2806707855251545,6.8437775816416595,0.0678070683352856,0.767634046925103,0.6584560603418161,CHO,indel_size
2,1.3892155892601186,2.676081200353045,4.894086496028244,0.7531538082728338,2.7837599293909974,5.028243601059135,0.7262388405480709,2.916151809355693,5.898499558693733,0.09162950442726925,0.7817337268473746,0.5698827899734941,iPSC,indel_size
3,0.9726266033506877,2.7714033539276257,5.237422771403354,0.7695603134207927,2.824360105913504,5.353927625772286,0.44674019119859754,3.0732568402471316,6.363636363636363,0.06690924643990477,0.8430800698754619,0.6409482813069628,K562,indel_size
4,0.7138957701301217,3.2462488967343335,6.4527802294792584,0.8564474780453347,3.3742277140335393,6.616063548102383,0.2686614019551433,3.6054721977052075,7.9073256840247135,0.06791786842083283,0.7674280240134046,0.7431590954042026,mESC,start_site
5,0.6238036798929758,3.3062665489849956,6.729037952338923,0.791418146193603,3.4218887908208298,6.963812886142983,0.20717870210335446,3.6875551632833186,7.819064430714916,0.060928949456955574,0.7656818095626442,0.7661989724818028,CHO,start_site
6,0.9670412637891752,3.0679611650485437,5.758164165931157,0.8448084564994558,3.179170344218888,5.924977934686672,0.39666937752556475,3.4289496910856134,7.000882612533098,0.0720671929728135,0.7831811674727014,0.671842715817751,iPSC,start_site
7,0.6457370444803456,3.2400706090026477,6.456310679611651,0.8408206564353089,3.288614298323036,6.572815533980583,0.22376061845083509,3.5736981465136806,7.496028243601059,0.05660553313270652,0.8461698086732846,0.7601774008507889,K562,start_site
8,0.7009926966645501,3.262135922330097,6.518976169461606,0.8557727116025522,3.401588702559576,6.667255075022065,0.26404310583654594,3.6337157987643423,7.9020300088261255,0.06856230281922619,0.7651791025988387,0.7436737397181039,mESC,MH
9,0.613462835879107,3.35216240070609,6.7537511032656665,0.8032785957728137,3.462488967343336,6.9920564872021185,0.20484384437079164,3.6928508384819065,7.811120917917035,0.059307099355139614,0.7700514063726408,0.7664728294019898,CHO,MH
10,1.0129954569659871,3.0732568402471316,5.759929390997352,0.8474099517637161,3.207413945278023,5.917034421888791,0.42011863919314746,3.4307149161518096,6.998234774933804,0.07451971521268454,0.7890649283933627,0.6729886919349821,iPSC,MH
11,0.610673471644113,3.2983230361871136,6.560458958517211,0.8437276247588003,3.358340688437776,6.676963812886143,0.2104222211022996,3.6301853486319504,7.587819947043248,0.05539346710248886,0.8451638605888327,0.7633170098210235,K562,MH
12,0.7236702505561596,3.2515445719329215,6.481023830538394,0.8520497203207879,3.3883495145631066,6.651368049426302,0.2727682867460202,3.6293027360988526,7.903795233892321,0.07003700653713611,0.7736004303672865,0.7441706332813256,mESC,distal_proximal
