,KL divergence,Top5 events recall,Top10 events recall,R2 of Frameshift ratio,Coll_I_Top5,Coll_I_Top10,KLD_IDL,Top5_IDL,Top10_IDL,W1-distance_IDL,delratio_r2,Kendall_tau_IDL,End_date,L2_Lambda,args.Fix_params,N_sample,cell
0,2.9764826236208877,2.860547219770521,5.431597528684907,0.5584716804093726,2.940864960282436,5.668137687555164,1.7202942414060993,3.110326566637246,6.436893203883495,0.2349172838494135,0.5993638372763612,0.6161592442309438,Oct14-23:58,0.0,None,0,BOB
1,2.557315762997305,3.022947925860547,6.2462488967343335,0.5309756188633615,3.0370697263901145,6.464254192409532,1.4251443453981871,3.06090026478376,6.624007060900265,0.21035444231396538,0.5868786510173482,0.654255060794701,Oct14-23:59,0.0,None,0,E14TG2A
2,1.0841072048968903,2.735216240070609,5.548102383053839,0.6440117144109999,2.872021182700794,5.794351279788173,0.5468432537426278,3.0714916151809355,7.155339805825243,0.11871432787767983,0.4626053178211823,0.678285412328483,Oct14-22:56,0.0,None,10,E14TG2A
3,1.1433203581980342,2.6646072374227714,5.224183583406885,0.6630365095808562,2.766990291262136,5.575463371579876,0.5580544922514158,2.874669020300088,6.7802294792586055,0.11704074537934392,0.4322034315874656,0.6780291067833646,Oct14-23:29,0.0,None,10,E14TG2A
4,0.8647736017078503,2.936451897616946,6.0503089143865845,0.759160105780834,3.0829655781112093,6.2250661959399824,0.38912621781784273,3.287731685789938,7.503971756398941,0.1019684788981862,0.5806596088642396,0.7053644333558735,Oct14-23:55,0.0,None,10,E14TG2A
5,1.326660929499268,2.834068843777582,5.376875551632833,0.43195525228313203,3.030008826125331,5.541041482789056,0.6921680971794484,3.265666372462489,6.729037952338923,0.15176930657387663,0.2942337171592914,0.6163870345253433,Oct14-23:16,0.0,None,10,BOB
6,1.2951366922440828,2.8446601941747574,5.337157987643424,0.466638725946893,3.052956751985878,5.523389232127096,0.6524018900739427,3.255957634598411,6.659311562224183,0.14091219612148714,0.4882746611611879,0.6237548256224998,Oct14-23:3,0.0,None,10,BOB
7,1.1659736021406233,2.8393645189761694,5.825242718446602,0.47713403716726455,2.976169461606355,6.0238305383936455,0.6157125012881741,3.1376875551632835,7.227714033539276,0.14314099621075774,0.5886259184916746,0.6606944743619916,Oct14-23:40,0.0,None,10,E14TG2A
8,0.9534270298804526,2.819064430714916,5.776699029126213,0.7229257502748827,2.964695498676081,5.992939099735216,0.44021960404194166,3.1297440423654015,7.281553398058253,0.10053518523610966,0.4873626495716412,0.6963268391372857,Oct15-00:3,0.0,None,10,E14TG2A
9,0.9851023790879473,2.941747572815534,5.9179170344218885,0.7012726180089887,3.0414827890556047,6.133274492497794,0.5146044377899387,3.2277140335392764,7.341571050308914,0.11928991799017004,0.4678177510568795,0.6896506248134352,Oct14-23:22,0.0,None,10,E14TG2A
10,0.9854894096306333,2.828773168578994,5.743159752868491,0.6986610872208812,2.950573698146514,5.953221535745808,0.4639193134594386,3.120035304501324,7.2144748455428065,0.10525596362407538,0.5472110546697472,0.6928497515281217,Oct14-23:18,0.0,None,10,E14TG2A
11,0.9266243105045695,3.0044130626654897,6.033539276257723,0.6450532749055472,3.1288614298323036,6.278905560458958,0.4351355556036368,3.297440423654016,7.488084730803178,0.11287350012109235,0.5622490780516674,0.7034939889709326,Oct14-23:47,0.0,None,10,E14TG2A
12,1.15016993636632,2.8375992939099737,5.353927625772286,0.7165444735692,3.025595763459841,5.554280670785525,0.5292672095181443,3.229479258605472,6.662842012356576,0.10316023713056051,0.5614658366323033,0.6369738520097303,Oct14-23:40,0.0,None,10,BOB
13,1.112143724354515,2.88702559576346,5.523389232127096,0.6859324984440384,3.067078552515446,5.729037952338923,0.5365780720962338,3.329214474845543,6.842894969108562,0.11739436913576821,0.41623057730244994,0.6425964848064329,Oct14-23:45,0.0,None,10,BOB
14,0.8722853279801617,2.969108561341571,5.9338040600176525,0.7657281191679342,3.0970873786407767,6.164165931156222,0.4008924026985159,3.2921447484554283,7.443954104148279,0.09504736745919437,0.5184073820015903,0.705993864778513,Oct14-23:0,0.0,None,10,E14TG2A
15,1.179843373636124,2.852603706972639,5.326566637246249,0.6252177686806677,3.0211827007943515,5.548984995586937,0.5733345061072075,3.2338923212709623,6.651368049426302,0.11607365344967834,0.44292423137525916,0.6324883592847107,Oct14-23:9,0.0,None,10,BOB
16,0.9153585830557063,2.875551632833186,5.721094439541042,0.7358451811171552,2.988526037069726,5.969991173874669,0.4429860889919992,3.1403353927625774,7.238305383936452,0.10260525357475964,0.5299611584843887,0.6951974531888329,Oct14-23:8,0.0,None,10,E14TG2A
17,1.16086465864716,2.820829655781112,5.307149161518094,0.7028253466391046,3.0185348631950575,5.508384819064431,0.572711002618369,3.259488084730803,6.618711385701677,0.12319827990638811,0.3995437625578961,0.6298402616777075,Oct14-23:24,0.0,None,10,BOB
18,1.3923128378977843,2.7537511032656665,5.159752868490733,0.49186513501403634,2.909090909090909,5.383053839364519,0.7069487787266583,3.1050308914386586,6.495145631067961,0.13574132799747876,0.5336889883803404,0.6103794602194182,Oct14-23:33,0.0,None,10,BOB
19,1.364189424709025,2.732568402471315,5.238305383936452,0.5391155690786656,2.939982347749338,5.503089143865843,0.6881120951389454,3.144748455428067,6.568402471315093,0.13432071949569047,0.5479792676846412,0.6097871658494401,Oct15-00:2,0.0,None,10,BOB
20,1.2619173801508186,2.8711385701676964,5.346866725507502,0.529748458628718,3.067078552515446,5.658428949691086,0.6178416509039318,3.2506619593998236,6.803177405119152,0.13492749472117482,0.5124419723234366,0.6346387305128711,Oct14-23:52,0.0,None,10,BOB
21,1.5805288472616452,2.6407766990291264,5.088261253309797,0.3355463961692969,2.827890556045896,5.369814651368049,0.8799624485462473,3.0141218005295674,6.428949691085613,0.15757083574159234,0.5000769942971304,0.5944445681957411,Oct14-22:55,0.0,None,10,BOB
22,0.8992577751429336,2.8693733451015007,5.94351279788173,0.6856925307005345,3.1332744924977933,6.202118270079435,0.43124989379552997,3.319505736981465,7.606354810238305,0.1092070194712669,0.2910167217276099,0.6971939574409787,Oct14-22:57,0.0,None,30,E14TG2A
23,1.150881261356826,2.8658428949691084,5.374227714033539,0.7269416162536905,3.027360988526037,5.657546337157988,0.5188014825006927,3.2462488967343335,6.767872903795234,0.10746696946103083,0.5409332685744647,0.6489030679671672,Oct14-23:37,0.0,None,30,BOB
